T,TraceA,P/T^4,E/T^4,s/T^3,Cv/T^3,cs^2
0.05,0.1798129,0.0995477,0.478456,0.5780037,0,0
0.052,0.184004,0.106683,0.504053,0.610736,0,0
0.054,0.187855,0.1137,0.528955,0.642655,0,0
0.056,0.19148,0.120598,0.553274,0.673872,0,0
0.058,0.194993,0.127379,0.57713,0.704509,0,0
0.06,0.198499,0.134049,0.600646,0.734695,0,0
0.062,0.202099,0.140616,0.623947,0.764563,0,0
0.064,0.205884,0.147091,0.647157,0.794248,0,0
0.066,0.209939,0.153488,0.670403,0.823891,0,0
0.068,0.214348,0.15982,0.693808,0.853628,0,0
0.07,0.219191,0.166102,0.717497,0.883599,0,0
0.072,0.224545,0.17235,0.741595,0.913945,0,0
0.074,0.23048,0.178582,0.766226,0.944808,0,0
0.076,0.237069,0.184815,0.791514,0.976329,0,0
0.078,0.244389,0.191066,0.817587,1.008653,0,0
0.08,0.252509,0.197354,0.844571,1.041925,0,0
0.082,0.261505,0.203697,0.872596,1.076293,0,0
0.084,0.271446,0.210116,0.901794,1.11191,0,0
0.086,0.282412,0.21663,0.932302,1.148932,0,0
0.088,0.294479,0.223259,0.964256,1.187515,0,0
0.09,0.307736,0.230022,0.997802,1.227824,0,0
0.092,0.322261,0.236943,1.03309,1.270033,0,0
0.094,0.338137,0.244041,1.07026,1.314301,0,0
0.096,0.355473,0.251339,1.10949,1.360829,0,0
0.098,0.37435,0.25886,1.15093,1.40979,0,0
0.1,0.394879,0.266627,1.19476,1.461387,0,0
0.102,0.417168,0.274664,1.24116,1.515824,0,0
0.104,0.441315,0.282995,1.2903,1.573295,0,0
0.106,0.467442,0.291646,1.34238,1.634026,0,0
0.108,0.495661,0.300643,1.39759,1.698233,0,0
0.11,0.526111,0.310013,1.45615,1.766163,0,0
0.112,0.558908,0.319784,1.51826,1.838044,0,0
0.114,0.594188,0.329984,1.58414,1.914124,0,0
0.116,0.632094,0.340642,1.65402,1.994662,0,0
0.118,0.67275,0.35179,1.72812,2.07991,0,0
0.12,0.716306,0.363458,1.80668,2.170138,0,0
0.122,0.762906,0.375678,1.88994,2.265618,0,0
0.124,0.812694,0.388482,1.97814,2.366622,0,0
0.126,0.865805,0.401905,2.07152,2.473425,0,0
0.128,0.92241,0.41598,2.17035,2.58633,0,0
0.13,0.982624,0.430742,2.27485,2.705592,0,0
0.13,1.01,0.439,2.33,2.77,16.5,0.168
0.135,1.21,0.481,2.65,3.13,20.4,0.153
0.14,1.46,0.529,3.05,3.58,24.5,0.146
0.145,1.76,0.586,3.52,4.11,28.6,0.144
0.15,2.09,0.651,4.05,4.7,32.6,0.144
0.155,2.43,0.726,4.61,5.34,36.2,0.148
0.16,2.76,0.808,5.19,6,39.3,0.153
0.165,3.07,0.898,5.76,6.66,41.8,0.159
0.17,3.34,0.994,6.32,7.32,43.8,0.167
0.175,3.56,1.094,6.85,7.94,45.2,0.176
0.18,3.74,1.197,7.33,8.53,46.2,0.185
0.185,3.88,1.302,7.78,9.08,47,0.194
0.19,3.97,1.406,8.19,9.6,47.5,0.202
0.195,4.03,1.51,8.56,10.07,47.9,0.21
0.2,4.05,1.613,8.89,10.5,48.1,0.218
0.205,4.05,1.713,9.19,10.9,48.4,0.225
0.21,4.03,1.81,9.46,11.27,48.6,0.232
0.215,3.99,1.904,9.7,11.61,48.8,0.238
0.22,3.94,1.995,9.93,11.92,49.1,0.243
0.225,3.88,2.083,10.13,12.21,49.4,0.247
0.23,3.82,2.168,10.32,12.49,49.8,0.251
0.235,3.76,2.249,10.5,12.75,50.3,0.254
0.24,3.69,2.328,10.68,13,50.7,0.256
0.245,3.63,2.403,10.84,13.24,51.1,0.259
0.25,3.57,2.476,10.99,13.47,51.5,0.261
0.255,3.5,2.546,11.14,13.68,51.9,0.264
0.26,3.44,2.613,11.28,13.89,52.2,0.266
0.265,3.38,2.678,11.41,14.09,52.5,0.268
0.27,3.32,2.741,11.54,14.28,52.8,0.27
0.275,3.26,2.801,11.66,14.46,53.1,0.272
0.28,3.2,2.859,11.77,14.63,53.3,0.274
0.285,3.14,2.915,11.88,14.8,53.6,0.276
0.29,3.08,2.969,11.99,14.95,53.8,0.278
0.295,3.02,3.021,12.08,15.11,54,0.28
0.3,2.96,3.072,12.18,15.25,54.2,0.282
0.305,2.91,3.12,12.27,15.39,54.3,0.283
0.31,2.85,3.167,12.35,15.52,54.5,0.285
0.315,2.79,3.212,12.43,15.64,54.6,0.286
0.32,2.74,3.256,12.51,15.76,54.8,0.288
0.325,2.69,3.298,12.58,15.88,54.9,0.289
0.33,2.63,3.338,12.65,15.99,55,0.291
0.335,2.58,3.377,12.71,16.09,55.1,0.292
0.34,2.53,3.415,12.78,16.19,55.2,0.293
0.345,2.48,3.452,12.83,16.29,55.3,0.294
0.35,2.43,3.487,12.89,16.38,55.4,0.296
0.355,2.38,3.521,12.94,16.47,55.5,0.297
0.36,2.33,3.554,13,16.55,55.6,0.298
0.365,2.29,3.586,13.04,16.63,55.7,0.299
0.37,2.24,3.617,13.09,16.71,55.8,0.3
0.375,2.2,3.647,13.14,16.78,55.8,0.301
0.38,2.15,3.675,13.18,16.85,55.9,0.302
0.385,2.11,3.703,13.22,16.92,56,0.302
0.39,2.07,3.73,13.26,16.99,56.1,0.303
0.395,2.03,3.756,13.3,17.05,56.2,0.304
0.4,1.99,3.782,13.34,17.12,56.2,0.304
